                    10        100        1000         10000
native_sort      0.002146  0.006914   0.108004     1.296997
bubble_sort      0.010014  0.583887  62.537909  6647.208929
selection_sort   0.007153  0.294924  28.781176  2917.472839
insertion_sort   0.005007  0.273228  28.451920  2955.612898
cocktail_sort    0.008106  0.510931  55.165052  5727.621794
shell_sort       0.007868  0.140905   2.719402    49.798965
heap_sort        0.014067  0.211954   3.288746    45.934677
quick_sort       0.007868  0.092030   1.441956    19.273996
merge_sort       0.015974  0.192165   2.439022    30.848026
count_sort       0.010014  0.049114   0.550032     5.970001
radix_sort       0.009060  0.078917   1.197100    16.460180
bucket_sort      0.010014  0.071764   2.909899   290.808201
tim_sort         0.007868  0.180244   3.040075    34.537315
pigeonhole_sort  0.005007  0.027895   0.274897     3.017902
bingo_sort       0.009298  0.381947  36.800146  3705.224991
comb_sort        0.008345  0.115156   2.321005    35.176039
cycle_sort       0.012875  0.694036  76.581955  8168.437719
